Sample,Region,Location,Host,Sym9,,Sym11,,Sym14,,Sym17,,Sym34,,Sym66,,Sym93,,Sym92,,Sym67,,Sym82,,Sym87,,Sym88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM05_mf9,CAR,Mexico,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM05_mf10A,CAR,Mexico,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL02_35,CAR,Belize,Acropora cervicornis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH_15m_1T,CAR,Belize,Orbicella sp.,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH_15m_3T,CAR,Belize,Orbicella sp.,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH_9m_2T,CAR,Belize,Orbicella sp.,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH_9m_3T,CAR,Belize,Orbicella sp.,106,109,151,153,177,179,141,143,385,387,0,0,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC_9m_2T,CAR,Belize,Orbicella sp.,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,240,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGB05_90,CAR,F.G. Banks,Acropora palmata,106,106,151,155,177,179,141,147,379,383,294,294,149,157,128,128,131,137,261,270,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX04_60,CAR,St. Croix,Agaricia grahamae,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA09_56,CAR,Panama,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA09_66,CAR,Panama,Orbicella faveolata,106,109,0,0,0,0,0,0,385,387,294,294,149,157,128,128,131,131,234,237,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA09_73,CAR,Panama,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,237,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA09_85,CAR,Panama,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,237,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA09_93,CAR,Panama,Orbicella faveolata,106,109,151,153,177,179,141,143,383,385,294,294,149,157,128,128,131,131,234,246,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA09_96,CAR,Panama,Orbicella faveolata,106,109,151,153,177,179,141,143,383,385,294,294,149,157,128,128,131,131,234,246,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA09_126,CAR,Panama,Orbicella faveolata,106,109,0,0,177,179,141,143,381,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA09_152,CAR,Panama,Orbicella franksi,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,246,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA09_157,CAR,Panama,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,246,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA09_159,CAR,Panama,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,246,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA09_168,CAR,Panama,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,249,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA09_175,CAR,Panama,Orbicella faveolata,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_8,IND,Koh Phiphi,Leptastrea sp.,106,109,151,153,177,179,143,143,373,377,294,294,149,153,128,128,131,134,234,237,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_17,IND,Koh Phiphi,Coeloseris mayeri,106,106,151,155,0,0,141,143,363,367,294,294,149,157,124,128,131,137,246,264,240,244,240,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_18,IND,Koh Phiphi,Pavona decussata,106,106,151,155,177,179,141,145,373,393,294,294,149,157,124,128,131,137,237,258,240,244,232,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_26,IND,Koh Phiphi,Pavona explanulata,106,109,151,155,179,179,141,147,369,377,294,294,149,157,128,128,131,131,243,249,240,240,234,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_39,IND,Koh Phiphi,Pavona varians,106,106,151,159,177,179,141,141,373,377,294,294,149,157,124,128,128,131,240,255,240,244,234,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_43,IND,Koh Phiphi,Physogyra lichtensteini,106,109,151,159,177,179,141,143,387,395,291,294,149,153,128,128,131,137,243,255,240,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_52,IND,Koh Phiphi,Echinopora gemmacea,106,109,151,161,177,177,141,145,369,389,291,294,149,157,128,128,131,134,234,255,240,240,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_53,IND,Koh Phiphi,Diploastrea heliopora,106,109,151,155,177,181,141,145,381,389,294,297,0,0,128,128,134,134,270,270,244,244,240,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_56,IND,Koh Phiphi,Plerogyra sinuosa,106,109,151,159,177,179,141,143,387,395,291,294,149,153,128,128,131,137,243,255,240,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_61,IND,Koh Phiphi,Goniopora columna,106,106,151,159,179,179,141,141,373,377,294,294,145,153,124,128,128,131,240,252,240,244,234,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_79,IND,Koh Phiphi,Astreopora myriophthalma,106,109,149,157,177,177,141,145,377,383,291,294,149,157,124,128,134,137,264,264,236,240,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_87,IND,Koh Phiphi,Goniopora columna,106,106,151,159,179,179,141,141,373,377,294,294,149,157,124,128,128,131,240,252,240,244,234,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
