Sample,pS.trenchii,pS.glynnii
PA09_12,0.017056186,0.982943814
PA09_14,0.017056186,0.982943814
PA09_2,0.017056186,0.982943814
PA09_20,0.019596882,0.980403118
PA09_22,0.019596882,0.980403118
PA09_29,0.03372176,0.96627824
PA09_3,0.019596882,0.980403118
PA09_31,0.019596882,0.980403118
PA09_39,0.019596882,0.980403118
PA09_4,0.03372176,0.96627824
PA09_40,0.017056186,0.982943814
PA09_45,0.019596882,0.980403118
PA09_47,0.019596882,0.980403118
PA09_5,0.019596882,0.980403118
PA09_55,0.019596882,0.980403118
PA09_57,0.020383183,0.979616817
PA09_67,0.021041019,0.978958981
PA09_7,0.019596882,0.980403118
PA09_74,0.019596882,0.980403118
Pal09_100,0.061208498,0.938791502
Pal09_105,0.11220333,0.88779667
Pal09_123,0.093382426,0.906617574
Pal09_22,0.06645491,0.93354509
Pal09_230,0.024280561,0.975719439
Pal09_269,0.023046592,0.976953408
Pal09_294,0.044476327,0.955523673
Pal09_312,0.021626856,0.978373144
Pal09_359,0.03605267,0.96394733
Pal09_371,0.038838394,0.961161606
Pal09_377,0.039871946,0.960128054
Pal09_384,0.03605267,0.96394733
Pal09_416,0.03605267,0.96394733
PAL09_444,0.059445295,0.940554705
Pal09_448,0.0464627,0.9535373
Pal09_450,0.03605267,0.96394733
Pal09_461,0.03605267,0.96394733
Pal09_604,0.021836469,0.978163531
Pal09_62,0.100519098,0.899480902
Pal09_63,0.155246437,0.844753563
Pal09_70,0.075917907,0.924082093
Pal09_78,0.118579149,0.881420851
Pal13_Nikko_05,0.07178089,0.92821911
Pal13_Nikko_15,0.291301697,0.708698303
Pal13_Nikko_18,0.091569267,0.908430733
Pal13_Nikko_25,0.067168459,0.932831541
Pal13_Nikko_33,0.08511848,0.91488152
Pal13_Nikko_42,0.094646417,0.905353583
Pal13_Nikko_51,0.07178089,0.92821911
Pal13_Nikko_63,0.067168459,0.932831541
Pal13_WCCF_06,0.19969894,0.80030106
Pal13_WCCF_104,0.068846874,0.931153126
Pal13_WCCF_132,0.060402844,0.939597156
Pal13_WCCF_141,0.068846874,0.931153126
Pal13_WCCF_38,0.068846874,0.931153126
Pal13_WCCF_68,0.072306328,0.927693672
Pal13orft010,0.024131035,0.975868965
Pal13orft028,0.024131035,0.975868965
Pal13orft040,0.08662767,0.91337233
Pal13orft043,0.024131035,0.975868965
Pal13orft047,0.023941094,0.976058906
Pal13ort1044,0.185563728,0.814436272
Pal13ort2007,0.024131035,0.975868965
Pal13ort2038,0.024500962,0.975499038
Pal13ort3038,0.067827269,0.932172731
Pal13wccf042,0.022627508,0.977372492
Pal13wccf049,0.185504496,0.814495504
Pal13wccf060,0.02430819,0.97569181
Pal13wccf088,0.069322973,0.930677027
Pal13wccf136,0.17703943,0.82296057
Pal09_101,0.906301677,0.093698323
PAL09_101,0.96360749,0.03639251
PAL09_11,0.96360749,0.03639251
Pal09_13,0.848290205,0.151709795
Pal09_133,0.914868414,0.085131586
PAL09_14,0.928633869,0.071366131
PAL09_17,0.8533113,0.1466887
PAL09_19,0.957406163,0.042593837
PAL09_20,0.942301691,0.057698309
PAL09_28,0.865435302,0.134564698
PAL09_327,0.959406674,0.040593326
PAL09_33,0.932535589,0.067464411
PAL09_330,0.957039058,0.042960942
PAL09_331,0.963382959,0.036617041
PAL09_334,0.861467242,0.138532758
PAL09_335,0.71931982,0.28068018
PAL09_340,0.959116876,0.040883124
PAL09_35,0.96021539,0.03978461
PAL09_355,0.964197278,0.035802722
PAL09_356,0.95545429,0.04454571
PAL09_368,0.959116876,0.040883124
PAL09_37,0.922265589,0.077734411
PAL09_370,0.955754459,0.044245541
PAL09_373,0.955482841,0.044517159
PAL09_374,0.95545429,0.04454571
PAL09_375,0.953218281,0.046781719
PAL09_378,0.95545429,0.04454571
PAL09_391,0.863838851,0.136161149
PAL09_392,0.95545429,0.04454571
PAL09_394,0.951660037,0.048339963
PAL09_395,0.949838638,0.050161362
PAL09_396,0.959989369,0.040010631
PAL09_397,0.967442513,0.032557487
PAL09_399,0.959393442,0.040606558
PAL09_4,0.940846384,0.059153616
PAL09_402,0.931970298,0.068029702
PAL09_403,0.961020648,0.038979352
PAL09_404,0.942311645,0.057688355
PAL09_405,0.959116876,0.040883124
PAL09_408,0.959406674,0.040593326
PAL09_413,0.959116876,0.040883124
PAL09_414,0.941952527,0.058047473
PAL09_418,0.95545429,0.04454571
PAL09_419,0.960150123,0.039849877
PAL09_422,0.95545429,0.04454571
PAL09_423,0.955754459,0.044245541
PAL09_424,0.958241701,0.041758299
PAL09_425,0.955754459,0.044245541
PAL09_429,0.955754459,0.044245541
PAL09_432,0.959116876,0.040883124
PAL09_435,0.959116876,0.040883124
PAL09_438,0.959116876,0.040883124
PAL09_440,0.959116876,0.040883124
PAL09_441,0.959116876,0.040883124
PAL09_447,0.95545429,0.04454571
PAL09_449,0.955754459,0.044245541
PAL09_451,0.95545429,0.04454571
PAL09_452,0.959116876,0.040883124
PAL09_453,0.963382959,0.036617041
PAL09_456,0.95545429,0.04454571
PAL09_457,0.937497675,0.062502325
PAL09_459,0.959326923,0.040673077
PAL09_460,0.95545429,0.04454571
PAL09_464,0.95545429,0.04454571
PAL09_5,0.931187093,0.068812907
Pal09_593,0.818667889,0.181332111
PAL09_6,0.947374403,0.052625597
Pal09_609,0.948674858,0.051325142
PAL09_66,0.894164801,0.105835199
PAL09_67,0.943302929,0.056697071
Pal09_7,0.837091684,0.162908316
PAL09_73,0.831054807,0.168945193
PAL09_74,0.9566468,0.0433532
PAL09_75,0.936360061,0.063639939
Pal09_8,0.914088845,0.085911155
PAL09_8,0.914088845,0.085911155
PAL09_82,0.948158979,0.051841021
PAL09_83,0.96360749,0.03639251
PAL09_85,0.963584006,0.036415994
Pal09_88,0.948183417,0.051816583
PAL09_89,0.907390654,0.092609346
PAL09_90,0.964417636,0.035582364
PAL09_91,0.93709296,0.06290704
PAL09_94,0.902444124,0.097555876
PAL09_95,0.96021539,0.03978461
NA_1_T0,0.958110154,0.041889846
NA_2_T0,0.96021539,0.03978461
NA_3_T0,0.964197278,0.035802722
NA_4_T0,0.960484803,0.039515197
NA_5_T0,0.954941452,0.045058548
NA_6_T0,0.959970057,0.040029943
NA_7_T0,0.95677489,0.04322511
NA_8_T0,0.96360749,0.03639251
NC_1_T0,0.921735108,0.078264892
NC_2_T0,0.921735108,0.078264892
NC_3_T0,0.916105449,0.083894551
NC_4_T0,0.956450701,0.043549299
NC_6_T0,0.890943885,0.109056115
NC_7_T0,0.955483019,0.044516981
NC_8_T0,0.923758149,0.076241851
NG1_2_T0,0.931154013,0.068845987
NG2_2_T0,0.842306614,0.157693386
NG3_2_T0,0.905584753,0.094415247
NG4_2_T0,0.698141277,0.301858723
NG5_2_T0,0.922852457,0.077147543
NG7_2_T0,0.663404763,0.336595237
NG8_1_T0,0.617114723,0.382885277
NPA_1_T0,0.952592432,0.047407568
NPA_2_T0,0.957948029,0.042051971
NPA_3_T0,0.950938284,0.049061716
NPA_4_T0,0.96360749,0.03639251
NPA_5_T0,0.96360749,0.03639251
NPA_6_T0,0.961345553,0.038654447
NPA_7_T0,0.961345553,0.038654447
NPA_8_T0,0.828792214,0.171207786
OPA_8_T0,0.886128128,0.113871872
OPA10_1_6m,0.933984399,0.066015601
